row_id,customer_text,intent,predicted_intent,predicted_escalation,top_similarity,generator_grounding_confidence,generated_reply,evidence_used,overall_score,critical_error,human_groundedness,human_correctness_safety,human_helpfulness,human_tone,human_evidence_adherence,human_overall_score,human_critical_error,human_reason
2,Amazonは流石に分割払い出来ない、よな？？,PAYMENT_BILLING,OTHER,True,0.0,0.5,ご質問ありがとうございます。お支払い方法に関するご確認が必要です。どの注文または支払い方法についてお尋ねでしょうか？,[],5.0,False,,,,,,,,
15,"@AmazonHelp I have read that communication. It is of no help. No one is even trying to understand, why i complained",COMPLAINT_FEEDBACK,COMPLAINT_FEEDBACK,False,0.2261629649400486,0.15,We're sorry you're experiencing this. Could you please provide more details about your issue so we can assist you better?,"[2, 4]",2.0,False,,,,,,,,
18,@AmazonHelp I filled the form out,OTHER,OTHER,False,0.9668749434006793,0.9,Thank you for submitting the form. We'll review the details and reach out to you shortly.,"[1, 2]",5.0,False,,,,,,,,
22,@115821 why am I paying for prime when you can't get my packages here on time? #GiftsForAFamilyinNeed,ORDER_DELIVERY,COMPLAINT_FEEDBACK,False,0.5093585936669814,0.7,"We're sorry to hear about the delay. Could you confirm if the delivery date mentioned during checkout was missed? Some items may take longer to process, but we're here to help resolve this.","[1, 2]",1.0,True,,,,,,,,
25,"@AmazonHelp @120533 @AmazonHelp en 1-2 le mail, en 3 votre site lorsque je veux me connecter (je n'ai plus utilisé ce compte depuis quelques années https://t.co/zD48CHw1yG",ACCOUNT_ACCESS,ACCOUNT_ACCESS,True,0.3056616298142735,0.28,"Bonjour, est-ce que vous recevez un message d'erreur lors de votre tentative de connexion? Veuillez également vérifier vos emails pour des confirmations ou des demandes de vérification.","[4, 1]",1.0,True,,,,,,,,
33,"@AmazonHelp I was hoping that the Amazon Fire TV Stick would be appearing in Canada too. As its on sale in this US, is this not the case? If not, can I buy it on https://t.co/lrFvn9VFkg and have it shipped to Canada? Its about $32CAD when converted, but its $50 on Amazon.ca",PRODUCT_CONTENT,PRODUCT_CONTENT,False,0.3045218536752745,0.0,"The Amazon Fire TV Stick is available for purchase in Canada on Amazon.ca. For the most accurate information, please check the product page directly. Purchasing from third-party websites may not include Amazon's standard warranty or support.",[],1.0,True,,,,,,,,
78,"@115850 @115821 @AmazonHelp : outrageous!my uncle ordrd mobile # 405-5688067-2004349.D mobile was returned,but the amount was not refunded",RETURN_REFUND,RETURN_REFUND,False,0.3449785852187367,0.25,"We apologize for the inconvenience. Could you please provide the order number so we can investigate the refund status? Also, check your email for any correspondence regarding this order.","[3, 4]",4.0,False,,,,,,,,
89,@AmazonHelp 再起動は何度もやっています。購入書籍が見えなくなったときは端末側から一度登録を解除して、見えるようになりました。毎日ダウンロードしたはずの書籍が見られなくなるのは、ストレスがたまります……。,TECHNICAL_SUPPORT,TECHNICAL_SUPPORT,False,1.0,0.8,ご報告ありがとうございます。お気持ちお察しします。このような不都合については、今後改善に向けてご意見を反映させていただきます。お手数ですが、今後の対応や他に気になる点がございましたら、お知らせください。,"[1, 3]",1.0,True,,,,,,,,
123,Yo @115830 stop putting my account on hold! I just got it off hold yesterday and it's already back on hold and orders cancelled wtf!?,ACCOUNT_ACCESS,ACCOUNT_ACCESS,True,0.4770156220726725,0.6,We understand your frustration about your account status. Could you please share more details about the hold and any error messages you received? This will help us assist you better.,"[1, 2]",4.0,False,,,,,,,,
126,@AmazonHelp I have already provided the details on the link provided earlier. Btw it's 9 already..no sign of the delivery guy yet.,ORDER_DELIVERY,ORDER_DELIVERY,False,0.4812440015107142,0.0,"Thank you for sharing the details. Our team is reviewing your case and will reach out shortly. If you need further assistance, feel free to let us know.","[1, 2]",1.0,True,,,,,,,,
140,@AmazonHelp I want 2nd subscription to get activated as soon as the first subscription expires .,PRIME_MEMBERSHIP,PRIME_MEMBERSHIP,False,0.3926766155198619,0.0,"To assist with activating your second subscription, could you please confirm your Prime Membership details and the expiration date of your current subscription? We'll ensure the second subscription is processed promptly upon the first one's expiration.","[2, 5]",1.0,True,,,,,,,,
196,Uhhhh how can I cancel an order I placed??? @115821,ORDER_DELIVERY,ORDER_DELIVERY,False,0.5162584394408803,0.6,"To cancel your order, check your Amazon order details for cancellation options. If the order has already shipped, contact our support team for assistance. Please share your order number for further help.","[3, 5]",4.0,False,,,,,,,,
