customer_tweet_id,customer_author_id,customer_created_at,customer_text,brand_reply_text,intent,intent_notes
2484016,709642,Sat Nov 18 07:11:44 +0000 2017,"@AmazonHelp Replied , kindly provide the cashback","@709642 Thanks for doing that, Shriram. We'll check the details and provide an update soon. ^JC",ORDER_DELIVERY,
2393485,689143,Tue Nov 14 11:22:15 +0000 2017,@AmazonHelp Bonjour plusieurs commandes sont retardés.. Livraison prime inutile désormais ?,"@689143 Bonjour, s'agit-il d'un problème récurrent ? Pourriez-vous nous en dire plus ? ^AR",ORDER_DELIVERY,
2153974,632890,Mon Nov 20 16:19:54 +0000 2017,"@AmazonHelp 12+ hours since my last tweet and nothing. No updated tracker, no call. Can you see why I'm upset? Specially as I am starting my prime trail and was thinking to become a member afterwards.","@632890 Hi Fernando, really sorry for the inconvenience and frustration this has caused! Can you advise what the tracking states now? You can check this out via this link: https://t.co/PyACxvY8Qo. Let me know how you get on. ^JC",ORDER_DELIVERY,
487837,231113,Fri Dec 01 15:45:31 +0000 2017,@AmazonHelp Haven't received the order on time. Looks like Package is held by carrier. Can you look into this ASAP? Tracking ID 1Z9763EF1210861375,"@231113 Hi, sorry to hear that. What Amazon website did you use to place the order? https://t.co/Znefn5I14N? ^JJ",ORDER_DELIVERY,
2124864,625785,Wed Nov 08 18:12:00 +0000 2017,@AmazonHelp Can someone get in touch with me fromyour support team.Pl Dm for contact details,@625785 We have already responded to your query here: https://t.co/GQ3WwvBoiT. Request you to check. ^NK,OTHER,
2923404,552394,Wed Nov 29 02:33:37 +0000 2017,@115821 how long does it take to get a conformation?? I’m still waiting on one package to ship. Getting upset.,"@552394 Packages can ship close to, or even on, the delivery date. Keep us posted on its arrival! ^DG",ORDER_DELIVERY,Waiting for package shipment/confirmation.
840893,320059,Fri Oct 13 11:58:28 +0000 2017,@AmazonHelp Bien évidement et la procédure habituel suis cours mais je pense qu'un plainte auprès d'un procureur est nécessaire afin d'arrêter tout cela,@320059 Notre service client prendra le relais afin de résoudre le souci. ^MD,COMPLAINT_FEEDBACK,Customer expresses a serious complaint and threatens legal/prosecutorial action; specific underlying issue is unclear.
2347732,678730,Mon Nov 13 16:48:51 +0000 2017,"@116928 pedi hace unos dias un pedido con prime, ponia que llegaba hoy, son casi las 6 de la tarde y sigue en reparto",@678730 Hola Adam. Lamento escuchar el inconveniente. ¿Te has puesto en contacto con el transportista para confirmar los detalles de la entrega de tu paquete? ^DB,ORDER_DELIVERY,Expected delivery today; package is still out for delivery.
505826,236030,Fri Dec 01 21:09:29 +0000 2017,@AmazonHelp one of my packages was supposed to be delivered today and still says being shipped soon since Nov 24. My other was sent out for delivery yesterday and just received an email saying it will miss delivery today...,@236030 Thanks for reaching out to us. Have you been given a new delivery date for the order? We can also check here: https://t.co/RYDC8N2UNg ^GG,ORDER_DELIVERY,Two packages have shipment/delivery delays and missed expected delivery.
2236369,652194,Fri Nov 10 18:35:38 +0000 2017,Feels like I'm waiting forever for my vinyl of the new @399451 album from Amazon to be delivered https://t.co/BlpFyBEy9J,"@652194 The wait is the hardest part! If your order has already shipped, you may be able to listen to the album now through our Auto-Rip program if your order is eligible. Please go here to learn more: https://t.co/3V2a6qpysY ^MB",ORDER_DELIVERY,Customer is waiting for an ordered product to be delivered.
746774,298523,Wed Oct 11 16:45:12 +0000 2017,"Bonjour @AmazonHelp , Impossible de me connecter à mon compte depuis aujourd'hui. J'ai changé de mot de passe plusieurs fois mais rien https://t.co/V23HWAxO0R","@298523 Bonjour, désolée d'apprendre cela :/ je vous prie de contacter notre SAV via ce lien  https://t.co/hgIrz98cdI ^SN",ACCOUNT_ACCESS,Customer cannot log in despite changing the password. | Human-verified correction: Customer cannot access their account.
845671,321012,Fri Oct 20 14:03:55 +0000 2017,@115850 heyy Amazon! doing great job..even on the day of diwali your parcel was delivered successfully on time..hope other rivals should also develop their delivery systems..,@321012 Glad to know that! :-) Happy Diwali! ^PR,OTHER,Customer is praising Amazon's delivery service and expressing positive feedback.
453241,222539,Fri Dec 01 14:27:45 +0000 2017,@AmazonHelp J'ai bien trouvé le bon endroit pour envoyer ma « plainte » (plus facile sur ordinateur que sur mobile). Méthode de contact utilisée : courriel. Merci.,@222539 C'est parfait alors. Nous restons à votre disposition en cas de besoin. ^SB,COMPLAINT_FEEDBACK,Customer confirms that they submitted a complaint through email.
544418,246482,Sat Dec 02 16:46:09 +0000 2017,"@AmazonHelp Pone esto ""Vendido por Linkmart y gestionado por Amazon""","@246482 Te agradecemos la información, Verónica. Para lograr revisar con mayor detalle lo que esta sucediendo con la devolución, te sugerimos contactar a nuestro departamento de Servicio al Cliente en el siguiente enlace: https://t.co/OjvUxwnzPe. ^AA",RETURN_REFUND,Customer is providing seller/fulfillment information for a return issue. | Human-verified correction: Customer cannot access their account.
2855207,199875,Mon Nov 27 20:31:00 +0000 2017,"@115833 @AmazonHelp Guten Abend, meine Alexa aktiviert sich in den letzten paar Tagen immer wieder von selbst ohne das irgendwer das Aktivierungswort sagt. Ist auch bei Bekannten so. Woran liegt das?","@199875 Normal meldet sie sich nur wenn sie gefragt wird, oder wenn jemand (auch der TV) ein ähnliches Wort ausspricht. Wie man das Aktivierungswort ändert, kannst du hier nachlesen: https://t.co/vyzB3gZe0T ^BL",TECHNICAL_SUPPORT,"The customer is asking about Alexa activation behavior and how to change the activation/wake word. This is a device functionality/configuration issue, so it falls under technical support. | Human-verified correction: Customer cannot access their account."
862505,324801,Fri Oct 13 14:35:39 +0000 2017,@115850 @AmazonHelp #cheating  careless  orderd 5738 received 3738 replacement is also the same #AmazonEffect #bechoaurbhago https://t.co/TalRcEL43r,"@324801 Please don’t provide the order details, we consider it to be personal info. Our Twitter page is visible to public. 2/2 ^MA",ORDER_DELIVERY,"Customer reports receiving the wrong product/order, including an incorrect replacement. The issue concerns an order being incorrectly fulfilled/replaced."
2863340,795365,Mon Nov 27 23:50:00 +0000 2017,@AmazonHelp もちろん同一アカウントです。Amazon側では残高表示が出ますが、プライムナウのアプリ上では表示が出ません。,"@795365 何度もお手数おかけしておます。
一度アカウントのご登録状況確認し、ご案内をさせていただければと存じます。
よろしければ、下記URLよりカスタマーサービスにご連絡ください。
https://t.co/bwBU0NvYIn TY",ACCOUNT_ACCESS,"The customer says the balance appears on their Amazon account but not in the Prime Now app, indicating an account synchronization/access issue between services. | Human-verified correction: Customer cannot access their account."
2891925,329031,Wed Nov 29 12:42:38 +0000 2017,@AmazonHelp  https://t.co/Ofniusd7pQ,"@329031 We're sorry for the experience you've had with this delivery, we strive to ensure every customer is delighted.  We'd like to look further into this situation with you.  When you have a moment, can you reach out to us here:https://t.co/9RRPB3BVFr? ^AZ",ORDER_DELIVERY,The historical reply explicitly refers to the customer's delivery experience and offers further assistance regarding the delivery issue.
616975,266387,Wed Nov 22 15:30:14 +0000 2017,@AmazonHelp Just sent them an email so hopefully someone can help. Any ideas on what I can do on my last tweet about the incorrectly charged TP WiFi plug offer that over charged me.,"@266387 This is the TP-Link plug included in the bundle, correct? If so, you will see the discount added to your order in the Checkout summary screen. Can you locate it there? ^TK",PAYMENT_BILLING,The customer reports being incorrectly overcharged for a TP-Link WiFi plug offer/bundle and is asking about a charge discrepancy. This is a billing/charging issue. | Human-verified correction: Customer cannot access their account.
1170200,395240,Sun Oct 15 20:14:07 +0000 2017,Amazon just emailed me to let me know delivery on my pre-order of @13505's book will be delayed. Must have crushed that presale,"@395240 I'm sorry for the delay! Please keep us posted on your order's arrival, we want to ensure your receive it. ^EZ",ORDER_DELIVERY,The customer reports that a pre-ordered book's delivery has been delayed. This is directly related to an order delivery delay.
2540298,722369,Thu Nov 16 11:40:38 +0000 2017,@AmazonHelp もちろんです✨,@722369 ありがとうございますっ (人´∀｀o）✨　SM,OTHER,The customer message is only a general acknowledgment (“Of course”) and does not describe a specific Amazon issue or request.
2052160,606902,Wed Oct 18 23:37:26 +0000 2017,LOVE it when you pay for Prime and shit doesn't arrive when it says it will 🙃🙃🙃 @115821,@606902 I'm sorry to hear this! What was the delivery date given in your confirmation e-mail here: https://t.co/7R8P8hZQtW? ^KP,ORDER_DELIVERY,The customer is complaining that a Prime order did not arrive by the promised delivery date. This is a delivery delay issue.
1010421,182230,Sat Oct 14 13:33:43 +0000 2017,@119625 When I am traveling and it shows this. You ruined my plans.,@182230 Kindly let us know if you tried getting in touch with our support team as mentioned in the screenshot provided. ^SU,ORDER_DELIVERY,"The customer says an Amazon-related issue occurred while traveling and disrupted their plans. The historical reply directs them to customer support, suggesting the issue is related to an order/service situation, but the exact problem is unclear."
1545213,478580,Sat Nov 04 06:57:14 +0000 2017,@AmazonHelp わざわざリプライ頂き、ありがとうございます。既にサポートセンターに連絡済みで、ご対応頂いております。,@478580 さようでございましたか。引き続きカスタマーサービスでご対応させていただければと存じます。突然のリプライ失礼いたしました m(_ _)m HM,OTHER,The customer is simply acknowledging Amazon's reply and stating that customer support is already handling the issue. No specific issue or request is described in the message.
457760,223707,Fri Dec 01 00:33:06 +0000 2017,@116313 1冊目はすでにボロボロになってしまったので！ https://t.co/0HQ9n17vwj,@223707 |ω・).｡oO( ・・・！すごい！） SK,PRODUCT_CONTENT,"The customer mentions that the first copy/book has already become badly damaged. The message concerns the condition of a product, rather than delivery, payment, or account access. | Human-verified correction: Customer cannot access their account."
679071,282036,Thu Nov 23 07:24:26 +0000 2017,Shout out to amazon for screwing me over EVERY time I order anything. Charged me twice and now my account is in the negatives. 🙃 https://t.co/eg4PTOTgEg,"@282036 Sorry to hear this Samantha. It sounds like it might be authorization charges that you are seeing. For more info on this, please click the link: https://t.co/0Zb9BvsX80 ^BZ",PAYMENT_BILLING,"The customer reports being charged twice for an order, resulting in a negative account balance. This is a duplicate/authorization charge and billing issue. | Human-verified correction: Customer cannot access their account."
1756515,528900,Tue Nov 07 19:28:34 +0000 2017,"@115821 After 2 further replacements that didn't work I struggled to get a refund even though they were returned, even after e mailing the CEO alot","@528900 I'm sorry for the poor experience, Amy! I understand the disappointment. What options were provided when you spoke to us? ^SD",RETURN_REFUND,The customer says they returned replacement items and had difficulty obtaining a refund. The main issue is the refund after returned/replacement products.
566588,252842,Sun Dec 03 01:21:38 +0000 2017,@AmazonHelp what is the point of being an Amazon Prime member during the holidays when packages always seem to get delayed?!,@252842 Oh no! Have we missed the date given on the confirmation email? ^BA,ORDER_DELIVERY,The customer is complaining about repeated package delays during the holidays despite having Amazon Prime. This is a delivery delay issue.
530044,242744,Sat Dec 02 09:38:44 +0000 2017,@AmazonHelp please get the live chat and call centre people some training. Absolutely disgusting service.,"@242744 I apologize for the experience you had. We want to help. Without giving us any personal/account info, can you give us a little insight on the issue you are facing? ^BA",COMPLAINT_FEEDBACK,"The customer is expressing dissatisfaction with Amazon's live chat and call centre support, specifically criticizing the quality of service and staff training."
1037408,365409,Sat Oct 14 18:40:55 +0000 2017,My package has been “out for delivery” for a whole ass day amazon wyd???,@365409 I'm sorry for the frustration. Items can be delivered as late as 8:00pm. ^AC,ORDER_DELIVERY,The customer is complaining that their package has remained “out for delivery” for the entire day. This is a delivery status/delay issue.
2805947,782589,Wed Nov 22 02:56:43 +0000 2017,Seriously @115821 @115817? So annoying. Happens all the time. https://t.co/M2lSRF2h9L,"@782589 Thanks for reaching out! I'm sorry for the delay! We strive to meet our delivery date, but in race circumstances we experience delays. If you do not receive your package by November 23rd, please let us know! ^AR",ORDER_DELIVERY,The customer is complaining that their package has remained “out for delivery” for the entire day. This is a delivery status/delay issue.
644748,273030,Thu Nov 16 21:32:34 +0000 2017,"@AmazonHelp Si hoy, y nada. Y tampoco por correo me contestaron.","@273030 Comprendo. En este caso, recomiendo entrar en contacto con nuestro Servicio al Cliente por vía telefónica, para una atención inmediata y personalizada, según la imagen. Por favor, ingresa a este enlace: https://t.co/beR78zMMYB ^CR https://t.co/BqVoYdxkLl",COMPLAINT_FEEDBACK,The customer says they have not received a response either by email or today. This is a complaint about the lack of customer support/response.
2735694,400341,Sun Nov 26 23:26:18 +0000 2017,One day @115821 will hire delivery drives that can read an address label. One day... not today though.  😑,"@400341 It sounds like you had a bad experience, my apologies. Without providing any account information can you give us some more details? ^CH",ORDER_DELIVERY,"The customer complains that the delivery driver could not correctly read or follow the address label, indicating a problem with delivery/address handling."
2201810,643912,Thu Oct 19 14:21:30 +0000 2017,chegou meus livros @115821 te amo,"@643912 Só amor para você, Sarai 💖 Quais livros você recebeu hoje? ^LG",ORDER_DELIVERY,The customer says their books have arrived. The message is directly related to receiving an order/delivery.
2829569,787953,Mon Nov 27 12:10:16 +0000 2017,What the flip @115821 ? Your driver can’t bother to get out of their vehicle to deliver packages? #TisTheSeasonForThievin’ #disappointed #poorservice https://t.co/vT3qUNHiUO,"@787953 Hi, Carol! This is definitely not the experience we want our customers to have. Please take a moment to add some details to this link so that we can look into this further: https://t.co/TLi6NONjTP  ^SP",ORDER_DELIVERY,The customer is complaining about the delivery driver not getting out of the vehicle to deliver the package. This is a delivery/service execution issue.
2869575,796868,Tue Nov 28 03:25:52 +0000 2017,@AmazonHelp Roughly Thursday. Thanks for your help? :),"@796868 Thanks for letting us know! If a carrier delivery update was received, please allow for delivery by the date provided and keep us posted. I really hope this didn't cause too much of an inconvenience for you. ^QJ",ORDER_DELIVERY,The customer is complaining about the delivery driver not getting out of the vehicle to deliver the package. This is a delivery/service execution issue.
2434962,171648,Sun Nov 19 20:02:36 +0000 2017,@AmazonHelp They reply me they can't open my account. How bitch they are.,"@171648 My apologies for the experience you've had, Ayan. Please reply to the email sent by our account specialist team for any further clarification on this. ^KS",ACCOUNT_ACCESS,The customer says they cannot open/access their Amazon account and is seeking help regarding the account access issue. | Human-verified correction: Customer cannot access their account.
1347591,434260,Fri Oct 27 17:19:39 +0000 2017,@AmazonHelp i am still waiting for a single reasonable response though. Being asked to wait in vain isnt good enough!,"@434260 Sorry about the stretch, Neeti. Please reply to the email sent to you. Once we receive your reply, we'll check &amp; assist. ^SV",COMPLAINT_FEEDBACK,The customer is complaining about not receiving a reasonable response and being repeatedly asked to wait. The issue is dissatisfaction with customer service/response handling.
1095918,366071,Sun Oct 15 05:06:11 +0000 2017,"@AmazonHelp plz give me your customer care no
I want to cancel one product of my order reply as soon as u can",@366071 You can reach out to our support team here:  https://t.co/R3EfhzgU8B. We'll assist you canceling the order. ^PS,COMPLAINT_FEEDBACK,The customer is complaining about not receiving a reasonable response and being repeatedly asked to wait. The issue is dissatisfaction with customer service/response handling.
1890590,563805,Sun Nov 26 08:51:12 +0000 2017,"@AmazonHelp It would be nice if you read my tweet before, I am saying that my account is LOCKED. Can you please read what I stated above and not give me some bullshit answer back, thanks.","@563805 Please use skip sign in option, on the link previously provided. ^TP",ACCOUNT_ACCESS,The customer explicitly states that their Amazon account is locked and they cannot access it. This is an account access/lockout issue. | Human-verified correction: Customer cannot access their account.
